Username,Followers,Following,Posts,Profile URL
alizaanis,80362,1791,2000,https://www.instagram.com/alizaanis/
foodeebaba,44173,51,1710,https://www.instagram.com/foodeebaba/
amnaashrafff,255556,1268,854,https://www.instagram.com/amnaashrafff/
kuch_extra_kar,75867,540,992,https://www.instagram.com/kuch_extra_kar/
abdullah.adil1,87197,355,545,https://www.instagram.com/abdullah.adil1/
saqibmobeen,237988,70,480,https://www.instagram.com/saqibmobeen/
fahad.chaudharyy,57109,534,585,https://www.instagram.com/fahad.chaudharyy/
chefjavaria,132086,715,970,https://www.instagram.com/chefjavaria/
reeby_eats,12629,318,742,https://www.instagram.com/reeby_eats/
khan_eatss,30856,52,1460,https://www.instagram.com/khan_eatss/
N/A,14680,3,152,https://www.instagram.com/hungry_hosts/
kainat_khan_zada,159053,52,362,https://www.instagram.com/kainat_khan_zada/
hunger_talesss,1714,31,65,https://www.instagram.com/hunger_talesss/
livingwithmilli,23146,466,103,https://www.instagram.com/livingwithmilli/
wajihansarii,50431,3,701,https://www.instagram.com/wajihansarii/
the.fooddesk,17867,1636,487,https://www.instagram.com/the.fooddesk/
realwowboy,140782,176,1349,https://www.instagram.com/realwowboy/
hungrywandererpk,40574,99,771,https://www.instagram.com/hungrywandererpk/
sham_world7,31001,138,623,https://www.instagram.com/sham_world7/
foodcon._,35050,162,759,https://www.instagram.com/foodcon._/
aafo_ods,53198,93,584,https://www.instagram.com/aafo_ods/
haseebeedxb,337682,81,1275,https://www.instagram.com/haseebeedxb/
currlygurrll,41804,182,206,https://www.instagram.com/currlygurrll/
chdanishofficial,530474,65,727,https://www.instagram.com/chdanishofficial/
nimz_foodblog,36069,520,620,https://www.instagram.com/nimz_foodblog/
taste_of_streets.yt,8862,192,52,https://www.instagram.com/taste_of_streets.yt/
anamtaandtaimoor,17926,2026,326,https://www.instagram.com/anamtaandtaimoor/
kiyanieatspk,11817,458,897,https://www.instagram.com/kiyanieatspk/
the_restaurant_girl_,236973,1139,2134,https://www.instagram.com/the_restaurant_girl_/
kabirshaahh,57722,247,808,https://www.instagram.com/kabirshaahh/
noorkhalid.11,306658,270,1214,https://www.instagram.com/noorkhalid.11/
vlogsbychaudhry_,1929,0,44,https://www.instagram.com/vlogsbychaudhry_/
shehre_lahoree,50934,178,410,https://www.instagram.com/shehre_lahoree/
hadianoorzz,556799,734,141,https://www.instagram.com/hadianoorzz/
2kbrokegirls,47536,35,165,https://www.instagram.com/2kbrokegirls/
ayeshaunhinged_,57243,153,80,https://www.instagram.com/ayeshaunhinged_/
haha_rabiya,128390,307,195,https://www.instagram.com/haha_rabiya/
taha.eats,14952,665,211,https://www.instagram.com/taha.eats/
creations_by_hina,44236,95,611,https://www.instagram.com/creations_by_hina/
ahmed_malik00,112225,429,322,https://www.instagram.com/ahmed_malik00/
hassaanaleem,38210,5306,680,https://www.instagram.com/hassaanaleem/
hassan.butttt,55912,357,715,https://www.instagram.com/hassan.butttt/
amnaniazi81,207674,983,3172,https://www.instagram.com/amnaniazi81/
muazbakhtawar,70549,2,538,https://www.instagram.com/muazbakhtawar/
muaz_bakhtawarr,3937,2,216,https://www.instagram.com/muaz_bakhtawarr/
zani.fsk,19741,440,620,https://www.instagram.com/zani.fsk/
zaroonblogs,52045,651,439,https://www.instagram.com/zaroonblogs/
eatsuponthames,8194,355,640,https://www.instagram.com/eatsuponthames/
food_exploration_with_umair,295154,1052,2481,https://www.instagram.com/food_exploration_with_umair/
azeempasha08,15715,1088,568,https://www.instagram.com/azeempasha08/
maaryamxoxo,7805,983,293,https://www.instagram.com/maaryamxoxo/
amber_desi_bawarchi,92251,971,1694,https://www.instagram.com/amber_desi_bawarchi/
foodreviewplanet.pk,65351,153,1224,https://www.instagram.com/foodreviewplanet.pk/
foodie.owais,62885,359,306,https://www.instagram.com/foodie.owais/
taste_with_bilal,22416,290,706,https://www.instagram.com/taste_with_bilal/
zar_casm,90222,415,210,https://www.instagram.com/zar_casm/
bahzad720,27421,463,297,https://www.instagram.com/bahzad720/
fahrainsmenu,30532,317,486,https://www.instagram.com/fahrainsmenu/
iammadabbasi,37598,2347,1306,https://www.instagram.com/iammadabbasi/
foodiee_stuff,27884,249,813,https://www.instagram.com/foodiee_stuff/
swaad_sutrra,19123,8,495,https://www.instagram.com/swaad_sutrra/
taste_tou_kar,14172,433,393,https://www.instagram.com/taste_tou_kar/
